brief_id,category,title,priority,current_status,target_cue_ids_or_content,edited_duration_seconds,approved_variants,planned_deliverable_files,loop,generation_model,sound_brief,integration_requirement,source_refs,generation_status
ambient_day_pulse,ambience,Day_Pulse ambience,P0,nonfinal_existing,overworld_ambient_day_pulse,45-90,1,1,yes,Medium,"subtle nonmelodic long-session air variation; this is not a day/night cycle or turn-start stinger. Natural continuous bed, no music, no speech, no foreground event or dramatic swell.",Existing terrain/pressure/day route. Edit seamless loop and update 12-second duration validation; biome identity and level selection need separate routing review.,content/ambient_sfx_manifest.json; scripts/autoload/AmbientAudio.gd:193,not_started
ambient_dirt,ambience,Dirt ambience,P0,nonfinal_existing,overworld_ambient_dirt,45-90,1,1,yes,Medium,"dry ground breeze, sparse scrub rustle and restrained outdoor texture. Natural continuous bed, no music, no speech, no foreground event or dramatic swell.",Existing terrain/pressure/day route. Edit seamless loop and update 12-second duration validation; biome identity and level selection need separate routing review.,content/ambient_sfx_manifest.json; scripts/autoload/AmbientAudio.gd:193,not_started
ambient_grass,ambience,Grass ambience,P0,nonfinal_existing,overworld_ambient_grass,45-90,1,1,yes,Medium,"open meadow wind and sparse distant birds, no close footsteps. Natural continuous bed, no music, no speech, no foreground event or dramatic swell.",Existing terrain/pressure/day route. Edit seamless loop and update 12-second duration validation; biome identity and level selection need separate routing review.,content/ambient_sfx_manifest.json; scripts/autoload/AmbientAudio.gd:193,not_started
ambient_lava,ambience,Lava ambience,P0,nonfinal_existing,overworld_ambient_lava,45-90,1,1,yes,Medium,"low hot-earth rumble, restrained lava bubbles and sparse ember crackle. Natural continuous bed, no music, no speech, no foreground event or dramatic swell.",Existing terrain/pressure/day route. Edit seamless loop and update 12-second duration validation; biome identity and level selection need separate routing review.,content/ambient_sfx_manifest.json; scripts/autoload/AmbientAudio.gd:193,not_started
ambient_mire,ambience,Mire ambience,P0,nonfinal_existing,overworld_ambient_mire,45-90,1,1,yes,Medium,"wet reed movement, insects, occasional distant frogs and low marsh air. Natural continuous bed, no music, no speech, no foreground event or dramatic swell.",Existing terrain/pressure/day route. Edit seamless loop and update 12-second duration validation; biome identity and level selection need separate routing review.,content/ambient_sfx_manifest.json; scripts/autoload/AmbientAudio.gd:193,not_started
ambient_pressure,ambience,Pressure ambience,P0,nonfinal_existing,overworld_ambient_pressure,45-90,1,1,yes,Medium,"very quiet nonmelodic unease texture; no fake enemy footsteps or positional warning. Natural continuous bed, no music, no speech, no foreground event or dramatic swell.",Existing terrain/pressure/day route. Edit seamless loop and update 12-second duration validation; biome identity and level selection need separate routing review.,content/ambient_sfx_manifest.json; scripts/autoload/AmbientAudio.gd:193,not_started
ambient_rough,ambience,Rough ambience,P0,nonfinal_existing,overworld_ambient_rough,45-90,1,1,yes,Medium,"exposed rocky ridge wind, sparse distant stone ticks. Natural continuous bed, no music, no speech, no foreground event or dramatic swell.",Existing terrain/pressure/day route. Edit seamless loop and update 12-second duration validation; biome identity and level selection need separate routing review.,content/ambient_sfx_manifest.json; scripts/autoload/AmbientAudio.gd:193,not_started
ambient_sand,ambience,Sand ambience,P0,nonfinal_existing,overworld_ambient_sand,45-90,1,1,yes,Medium,"dry sand hiss and sheltered desert breeze without constant howling. Natural continuous bed, no music, no speech, no foreground event or dramatic swell.",Existing terrain/pressure/day route. Edit seamless loop and update 12-second duration validation; biome identity and level selection need separate routing review.,content/ambient_sfx_manifest.json; scripts/autoload/AmbientAudio.gd:193,not_started
ambient_snow,ambience,Snow ambience,P0,nonfinal_existing,overworld_ambient_snow,45-90,1,1,yes,Medium,"soft cold wind and rare distant ice creaks, no footstep loop. Natural continuous bed, no music, no speech, no foreground event or dramatic swell.",Existing terrain/pressure/day route. Edit seamless loop and update 12-second duration validation; biome identity and level selection need separate routing review.,content/ambient_sfx_manifest.json; scripts/autoload/AmbientAudio.gd:193,not_started
ambient_underground,ambience,Underground ambience,P0,nonfinal_existing,overworld_ambient_underground,45-90,1,1,yes,Medium,"subterranean air, distant drips and occasional rock resonance. Natural continuous bed, no music, no speech, no foreground event or dramatic swell.",Existing terrain/pressure/day route. Edit seamless loop and update 12-second duration validation; biome identity and level selection need separate routing review.,content/ambient_sfx_manifest.json; scripts/autoload/AmbientAudio.gd:193,not_started
ambient_water,ambience,Water ambience,P0,nonfinal_existing,overworld_ambient_water,45-90,1,1,yes,Medium,"gentle shoreline wash with water lapping, sparse distant seabirds. Natural continuous bed, no music, no speech, no foreground event or dramatic swell.",Existing terrain/pressure/day route. Edit seamless loop and update 12-second duration validation; biome identity and level selection need separate routing review.,content/ambient_sfx_manifest.json; scripts/autoload/AmbientAudio.gd:193,not_started
replace_audio_placeholder_cast,battle,Cast,P0,nonfinal_existing,audio_placeholder_cast,0.22,1,1,no,Small-SFX,"short focused energy gathering and release, neutral fallback. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_placeholder_defend,battle,Defend,P0,nonfinal_existing,audio_placeholder_defend,0.1,1,1,no,Small-SFX,"shield raised and firm brace, no attack hit. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_placeholder_hit,battle,Hit,P0,nonfinal_existing,audio_placeholder_hit,0.1,1,1,no,Small-SFX,"compact body and equipment impact with clear attack and short decay, no gore emphasis. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_placeholder_idle_soft,battle,Idle Soft,P0,nonfinal_existing,audio_placeholder_idle_soft,0.07,1,1,no,Small-SFX,"barely audible clothing or equipment settling; no constant creature grunting. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_placeholder_melee_release,battle,Melee Release,P0,nonfinal_existing,audio_placeholder_melee_release,0.12,1,1,no,Small-SFX,"single close weapon swing through air, no impact baked in. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_placeholder_ranged_release,battle,Ranged Release,P0,nonfinal_existing,audio_placeholder_ranged_release,0.15,1,1,no,Small-SFX,"bowstring snap with a short projectile air flick, no impact baked in. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_placeholder_retaliation,battle,Retaliation,P0,nonfinal_existing,audio_placeholder_retaliation,0.13,1,1,no,Small-SFX,"quick counter-swing air accent, distinct from the subsequent impact. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_placeholder_retreat_order,battle,Retreat Order,P0,nonfinal_existing,audio_placeholder_retreat_order,0.21,1,1,no,Small-SFX,"short descending field-horn order, urgent but restrained. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
