domain,content_id,name,source,current_audio,proposed_brief_ids,disposition
units,unit_river_guard,River Guard,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_polearm;ability_reach;ability_brace,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_ember_archer,Ember Archer,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_bow;ability_volley;ability_harry,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_citadel_pikeward,Citadel Pikeward,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_polearm;ability_reach;ability_formation_guard,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_blackbranch_cutthroat,Blackbranch Cutthroat,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_blade;ability_backstab,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_mire_slinger,Mire Slinger,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_sling;ability_harry,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_bog_brute,Bog Brute,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_bog_brute;ability_shielding,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_gorefen_ripper,Gorefen Ripper,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_bog_brute;ability_backstab;ability_bloodrush,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_shard_guard,Shard Pavise Guard,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_blade;ability_brace;ability_shielding,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_prism_adept,Prism Harrier,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_arcane;ability_volley;ability_harry,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_mirror_duelist,Mirror Skirmisher,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_blade;ability_reach;ability_backstab,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_aurora_ballista,Aurora Ballista,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_siege;ability_volley;ability_formation_guard,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_embercourt_fordhook_cadets,Fordhook Cadets,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_polearm;ability_reach;ability_brace,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_embercourt_lantern_sappers,Lantern Sappers,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_blade;ability_counter_ambush_flare,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_embercourt_bargebow_crews,Bargebow Crews,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_bow;ability_volley,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_embercourt_ash_oath_bailiffs,Ash-Oath Bailiffs,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_blade;ability_brace,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_embercourt_beacon_lectors,Beacon Lectors,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_humanoid;weapon_arcane;ability_harry;ability_readiness_writ,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
units,unit_embercourt_sluicefire_lindworms,Sluicefire Lindworms,content/units.json,Shared battle move/release/hit/rout/cast/status cues,body_wyrm;ability_bloodrush,"Proposed shared bank; verify actual art, body and weapon before generation. No bespoke voice line per unit. All passive abilities may remain silent."
